English,Banjara,Emotion
Sun,Suraj,
Moon,Chand,
Star,Taara,
Sky,Aasman,
Earth,Dharti,
Fire,Agni,
Wind,Hava,
Rain,Barasaat,
Cloud,Badal,
Stone,Pathar,
Tree,Jhad,
Leaf,Paan,
Flower,Phool,
Fruit,Phal,
Milk,Dudh,
Rice,Bhat,
Wheat,Gehun,
Salt,Namak,
Sugar,Sakhar,
Oil,Tel,
Tea,Chai,
Food,Khana,
Road,Rasto,
Car,Gaadi,
Bus,Bas,
Train,Rail,
Boat,Naav,
Horse,Ghoda,
Cow,Gai,
Buffalo,Bhains,
Goat,Bakri,
Dog,Kutra,
Cat,Billi,
Bird,Chiriya,
Fish,Machhi,
Snake,Saap,
Monkey,Bandar,
Rat,Undar,
Work,Kaam,
Sleep,Suto,
Eat,Khay,
Drink,Piy,
Run,Dhav,
Walk,Chal,
Sit,Bas,
Stand,Ubho,
Speak,Bol,
Listen,Saanbhal,
Read,Waanc,
Write,Lako,
Open,Kholo,
Close,Band,
Come,Aajo,
Go,Jay,
Laugh,Hans,
Cry,Ro,
See,Dekh,
Give,De,
Take,Liyo,
Bring,Layo,
Today,Aaj,
Tomorrow,Kal,
Yesterday,Kaal,
Morning,Savera,
Noon,Dopahar,
Evening,Sandhya,
Night,Raat,
Day,Din,
Week,Hapto,
Month,Mahino,
Year,Varas,
Hour,Ghanto,
Minute,Minit,
Second,Second,
Now,Abh,
Later,Pachhi,
Always,Hamesha,
Never,Kabhi nai,
Sometimes,Kabhi-kabhi,
Grandfather,Dada,
Grandmother,Dadi,
Uncle (father’s brother),Kaka,
Uncle (mother’s brother),Mama,
Aunt (father’s sister),Foi,
Aunt (mother’s sister),Masi,
Husband,Pati,
Wife,Patni,
Brother-in-law,Sala,
Sister-in-law,Vahini,
Cousin,Bhai-Bahin,
Nephew,Bhatijo,
Niece,Bhatiji,
Father-in-law,Sasra,
Mother-in-law,Sasuma,
Friend (male),Dost,
Friend (female),Sakhin,
Neighbor,Padosi,
Child,Bacha,
Baby,Chhoro,
Salt,Namak,
Sugar,Sakhar,
Rice,Bhat,
Wheat,Gehun,
Flour,Aato,
Bread,Roti,
Butter,Makkhan,
Milk,Dudh,
Curd,Dahi,
Cheese,Paneer,
Meat,Maas,
Fish,Machhi,
Egg,Anda,
Vegetable,Tarkari,
Potato,Batata,
Onion,Kanda,
Garlic,Lasan,
Tomato,Tamatar,
Banana,Kela,
Mango,Amba,
Apple,Shev,
Orange,Narangi,
Grapes,Draaksh,
Watermelon,Tarbuja,
Guava,Peru,
Papaya,Papita,
Chilli,Mirchi,
Spices,Masala,
Oil,Tel,
Tea,Chai,
Coffee,Kofi,
Food,Khana,
Breakfast,Nashto,
Lunch,Dopahar no jamvan,
Dinner,Rat no jamvan,
Dog,Kutra,
Cat,Billi,
Cow,Gai,
Buffalo,Bhains,
Goat,Bakri,
Sheep,Dhenu,
Horse,Ghoda,
Camel,Oont,
Elephant,Hathi,
Monkey,Bandar,
Lion,Sinh,
Tiger,Bagh,
Wolf,Bhediya,
Fox,Lungkdi,
Rabbit,Saso,
Rat,Undar,
Squirrel,Gilhari,
Pig,Dukkar,
Hen,kukadi,
Cock,Kuku,
Duck,Batak,
Peacock,Mor,
Crow,Kag,
Pigeon,Kabutar,
Parrot,Popat,
Sparrow,Chidiya,
Eagle,Garud,
Owl,Gubbat,
Fish,Mali,
Snake,Saap,
Cobra,Naag,
Tortoise,Kachhbo,
Frog,Medak,
Red,Laal,
Blue,Neelo,
Green,Horo,
Yellow,Peelo,
Black,Kalo,
White,Safed,
Brown,Bhuro,
Pink,Gulabi,
Orange,Narangi,
Big,Mothu,
Small,Chotu,
Hot,Garam,
Cold,Thando,
Good,Bhalo,
Bad,Kharaab,
New,Navo,
Old,Juno,
Fast,Jaldi,
Slow,Dhire,
Happy,Khush,
Sad,Dukhi,
House,Ghar,
Room,Kholi,
Kitchen,Rasodu,
Bed,Khatt,
Chair,Kursi,
Table,Mej,
Door,Darwajo,
Window,Khidki,
Wall,Bhint,
Roof,Chhat,
Floor,Farsh,
Lamp,Divdo,
Light,Batti,
Fan,Pankho,
Mirror,Ariso,
Bucket,Balti,
Pot,Matka,
Glass,Gilas,
Plate,Thali,
Spoon,Chamach,
Knife,Chhuri,
Box,Peti,
Bag,Theli,
Lock,Tala,
Key,Chhabi,
Broom,Jhadu,
Soap,Sabun,
Shirt,Kameej,
Pant,Patloon,
Dhoti,Dhoti,
Sari,Sadi,
Blouse,Choli,
Skirt,Ghaghro,
Scarf,Rumal,
Jacket,Jhakito,
Coat,Koto,
Sweater,Sweater,
Shoe,Jooto,
Slipper,Chappal,
Sock,Moja,
Cap,Topi,
Turban,Pagdi,
Ring,Anguthi,
Bangle,Chudi,
Necklace,Haar,
Earring,Kana,
Chain,Sadiyo,
Watch,Ghadiyal,
Belt,Kamarpatto,
Handkerchief,Rumal,
Sky,Aasman,
Earth,Jami,
Sun,Suraj,
Moon,Chand,
Star,Taara,
Cloud,Badal,
Rain,Varsad,
Rainbow,Indradhanush,
Wind,Hava,
Storm,Andhi,
Fire,Agni,
Smoke,Dhuan,
Ash,Raakh,
Stone,Pathar,
Sand,Reti,
Soil,Mitti,
Hill,Dongar,
Mountain,Pahad,
Valley,Khind,
River,Dariya,
Lake,Tala,
Sea,Samundar,
Well,Kuvo,
Waterfall,Jharna,
Tree,Jhad,
Branch,Dado,
Leaf,Paan,
Flower,Phool,
Root,Jad,
Run,Dhav,
Walk,Chal,
Sit,Bas,
Stand,Ubho,
Eat,Khay,
Drink,Piy,
Sleep,Suto,
Wake up,Jaag,
Speak,Bol,
Listen,Saanbhal,
See,Dekh,
Look,Juo,
Write,Lako,
Read,Waanc,
Open,Kholo,
Close,Bandh,
Come,Aajo,
Go,Jay,
Give,De,
Take,Liyo,
Bring,Layo,
Call,Bolavo,
Wash,Dhov,
Cook,Pakavo,
Clean,Saf kar,
Buy,Kharido,
Sell,Wec,
Start,Sharu,
Stop,Bandh kar,
Wait,Raho,
Play,Khel,
Sing,Ga,
Dance,Nach,
Work,Kaam kar,
Rest,Aaram kar,
Festival,Tyohar,
Marriage,Lagna,
Wedding,Shadi,
Bride,Vadhu,
Groom,Var,
Dance,Nach,
Song,Geet,
Drum,Dhol,
Flute,Bansuri,
Temple,Deval,
Prayer,Prarthna,
God,Dev,
Goddess,Devi,
Puja,Pooja,
Holy book,Granth,
Lamp,Diya,
Firewood,Lakdi,
Market fair,Jatra,
Celebration,Utsav,
Truth,Sasai,
Lie,labari,
Love,Prem,
Friendship,Maitri,
Peace,Shanti,
War,Ladai,
Life,Jivan,
Death,Mrutyu,
Health,Swasthya,
Knowledge,Gyan,
Wisdom,Buddhi,
Faith,Vishwas,
Hope,Aasha,
Fear,Dar,
Anger,Krodh,
Happiness,Anand,
Sorrow,Dukh,
Strength,Shakti,
Time,Samay,
Work,Kaam,
Language,Boli,
Story,Katha,
Song,Geet,
Play (theatre),Natak,
Pen,Kalam,
Pencil,Pencil,
Paper,Kagad,
Book,Pustak,
Notebook,Khato,
Bag,Theli,
Box,Peti,
School,Shala,
Teacher,Shikshak,
Student,Vidyarthi,
Class,Kaksha,
Blackboard,Falak,
Chalk,Khadi,
Exam,Pariksha,
Answer,Uttar,
Question,Sawal,
Result,Parinam,
Work,Kaam,
Letter,Chitthi,
Post,Daak,
Farmer,Kisan,
Teacher,Guruji,
Student,Vidyarthi,
Driver,Chalak,
Soldier,Sipahi,
Police,Police,
Carpenter,Suthar,
Blacksmith,Lohar,
Goldsmith,Sunar,
Potter,Kumbhar,
Weaver,Julaha,
Fisherman,Machhua,
Hunter,Shikari,
Merchant,Vyapari,
Shopkeeper,Dukandar,
Washerman,Dhobi,
Barber,Nai,
Tailor,Darji,
Doctor,Vaidya,
Priest,Pujari,
Plough,Hal,
Spade,Phavdo,
Axe,Kulhadi,
Hammer,Hathoda,
Knife,Chhuri,
Needle,Sui,
Thread,Doro,
Rope,Dori,
Basket,Tokri,
Ladder,Dedi,
Lantern,Hurren,
Matchbox,Machis,
Torch,Mashal,
Net,Jal,
Stick,Lathi,
Sword,Talwar,
Bow,Dhanush,
Arrow,Teer,
Gun,Banduk,
Bullet,Goli,
Lightning,Bijli,
Thunder,Garaj,
Dew,Shishir,
Mist,Kuhas,
Fog,Dhund,
Heat,Garmi,
Cold,Thand,
Storm,Andhi,
Flood,Baadh,
Drought,Sukha,
Season,Rutu,
Summer,Unalu,
Winter,Sheetkal,
Spring,Vasant,
Autumn,Sharad,
Horizon,Kinaro,
Field,Khet,
Grass,Ghas,
Bush,Jhari,
Forest path,Jungle wat,
Fever,thavo,
Cough,Khansi,
Cold,Sardi,
Headache,Matho dukh,
Stomach pain,Peto dukh,
Toothache,Dant dukh,
Back pain,Kamar dukh,
Wound,Jakhm,
Injury,Chot,
Bleeding,Rakt vahe,
Burn,Jaal,
Disease,Bimari,
Cholera,Haiza,
Malaria,Maleriya,
Typhoid,Taiphaid,
Smallpox,Mata,
Measles,Chhoti mata,
Leprosy,Kusht,
Tuberculosis,Kshaya,
Asthma,Dama,
Jealous,Irkhaalu,
Proud,Garvi,
Lazy,Sust,
Greedy,Lobhi,
Clever,Chalak,
Foolish,Murkh,
Angry,Krodhit,
Calm,Shaant,
Excited,Utsahit,
Bored,Ukhalo,
Tired,Thaklo,
Hungry,Bhukha,
Thirsty,Pyas lagyo,
Sleepy,Ongh aayi,
Surprised,Aachambhit,
Worried,Chintit,
Brave,Bahadur,
Coward,Darpo,
Kind,Dayalu,
Cruel,Nirdai,
King,Raja,
Queen,Rani,
Prince,Kumar,
Princess,Rajkumari,
Leader,Neta,
Chief,Mukhiya,
Judge,Nyayadhish,
Lawyer,Vakil,
Worker,Mazdoor,
Servant,Nokar,
Master,Malik,
Singer,Gayak,
Dancer,Nartaki,
Actor,Kalakar,
Writer,Lekhak,
Poet,Kavi,
Artist,Kalakar,
Doctor (Ayurvedic),Vaidya,
Nurse,Nurse,
Engineer,Abhiyanta,
School,Shala,
College,Mahavidyalay,
Hospital,Aspataal,
Temple,Deval,
Mosque,Masjid,
Church,Girja,
Market,Bajar,
Shop,Dukan,
House,Ghar,
Hut,Jhopadi,
Palace,Mahal,
Fort,Killa,
Garden,Udyan,
Park,Bagiya,
Playground,Maidan,
Station,Sthanak,
Post office,Daakghar,
Bank,Bank,
Office,Karyalay,
Court,Nyayalay,
Island,Dweep,
Desert,Marubhoomi,
Cave,Guha,
Cliff,Khadi,
Valley,Ghati,
Stream,Jharna doro,
Spring (water),Jhar,
Mud,Kichad,
Pebble,Konko,
Coal,Koilo,
Iron,Loha,
Copper,Tamba,
Silver,Chandi,
Gold,Sona,
Diamond,Heero,
Pearl,Moti,
Shell,Shankh,
Wave,Lehar,
Tide,Jwaro,
Horizon,Aakash kinari,
Pity,Daya,
Mercy,Krupa,
Forgiveness,Maafi,
Trust,Vishwas,
Faith,Shraddha,
Shame,Lajja,
Respect,Samman,
Honor,Izzat,
Pride,Garv,
Curiosity,Jigyaasa,
Wisdom,Gyan,
Knowledge,Vidya,
Memory,Yaad,
Dream,Sapna,
Thought,Vichar,
Idea,Soch,
Plan,Yojana,
Desire,Ichchha,
Need,Jarurat,
Choice,Pasand,
School bag,Pothi theli,
Notebook,Khato,
Newspaper,Patrika,
Magazine,Masik,
Letter,Chitthi,
Envelope,Lifafa,
Stamp,Ticket,
Coin,Sikka,
Note (money),Not,
ATM,ATM,
Bank account,Khato,
Loan,Udhar,
Market price,Bhav,
Office,Karyalay,
Company,Kampani,
Factory,Karkhano,
Machine,Yantra,
Worker,Majur,
Boss,Seth,
Salary slip,Pagaar chitthi,
Planet,Grah,
Star (big),Nakshatra,
Galaxy,Akashganga,
Universe,Brahmand,
Shadow,Chhaya,
Light,Prakash,
Darkness,Andharu,
Dawn,Usha,
Dusk,Sandhya,
Rainy season,Varsad rutu,
Winter season,Sheetkal,
Summer season,Unalu,
Spring season,Vasant,
Thunderstorm,Bijli garaj,
Earthquake,Bhukamp,
Volcano,Jwala Parvat,
Floodplain,Baadh bhoomi,
Glacier,Barf pahar,
Snow,Barf,
Ice,Him,
Jar,Barni,
Pitcher,Ghado,
Pan,Tavi,
Pot,Handi,
Basket (big),Daliya,
Tray,Thal,
Drum,Dholak,
Bell,Ghanti,
Whistle,Siti,
Rug,Galiicha,
Mirror (small),Chhotu ariso,
Brush,Brush,
Pen stand,Kalam dani,
Book rack,Pustak takto,
Candle,Batti,
Matchbox,Machis,
Torch,Mashal,
Spade,Phavdo,
Bucket (metal),Lohe ki balti,
Rope,Dori,
Forehead,Kapal,
Cheek,Gal,
Chin,Thodi,
Lips,Oth,
Eyebrow,Bhru,
Eyelash,Palak,
Chest,Chhati,
Back,Pacho,
Waist,Kamar,
Hip,Kumbh,
Ankle,Gheo,
Heel,Edhi,
Toe,Pagli ungli,
Throat,Gala,
Liver,Jigar,
Kidney,Gurda,
Brain,Magaj,
Nerve,Nas,
Sweat,Pasino,
Tear,Aansu,
Stair,Sidi,
Corridor,Verando,
Balcony,Gallery,
Terrace,Ota,
Fence,Vado,
Courtyard,Angan,
Gate,Darwajo,
Shelf,Takto,
Drawer,Daraj,
Cupboard,Almari,
Mattress,Gaddo,
Quilt,Rajai,
Blanket,Kambal,
Basin,Sin,
Tap,Nal,
Pipe,Nali,
Dustbin,Kachro dabbo,
Clock,Ghadiyal,
Calendar,Patra,
Frame,Photo jhado,
Hammer,Hathodo,
Nail,Kil,
Saw,Aras,
Axe,Kurhad,
Drill,Dril,
File,Reti,
Wrench,Pana,
Pliers,Chimta,
Chisel,Banti,
Spanner,Spana,
Measuring tape,Mapdo,
Scale,Patti,
Scissors,Kainchi,
Shovel,Phavdo,
Pickaxe,Gainti,
Wheelbarrow,Thelo,
Ladder,Sidhi,
Rake,Khurpo,
Screw,Picho,
Bolt,Bolto,
Justice,Nyay,
Freedom,Swatantra,
Equality,Samanta,
Brotherhood,Bhai chara,
Democracy,Loktantra,
Kingdom,Rajya,
Empire,Samrajya,
Tradition,Parampara,
Culture,Sanskruti,
Heritage,Virasat,
Wisdom,Buddhi,
Knowledge,Gyan,
Intelligence,Medha,
Decision,Nirnay,
Choice,Vikalp,
Future,Bhavishya,
Past,Bhootkal,
Present,Vartaman,
Destiny,Kismat,
Luck,Bhagya,
Bread,Roti,
Chapati,Fulka,
Lentils,Dal,
Curry,Shaak,
Vegetable,Tarkari,
Soup,Sup,
Pickle,Athanu,
Chutney,Chatni,
Sweet,Mithai,
Sugarcane,Ganna,
Banana,Kela,
Mango,Ambo,
Guava,Peru,
Apple,Safarchand,
Grapes,Draksha,
Papaya,Papita,
Coconut,Nariyal,
Dates,Khajur,
Cashew,Kaju,
Almond,Badam,
Money,Paisa,
Coin,Sikko,
Note,Notu,
Price,Kimat,
Cheap,Sasto,
Expensive,Mahangu,
Market,Haat,
Shopkeeper,Dukandar,
Buyer,Kharedar,
Seller,Vechak,
Bargain,Mol bhav,
Profit,Labh,
Loss,Nuksan,
Bill,Hishab patra,
Receipt,Rasid,
Weight,Tulo,
Scale,Takkad,
Goods,Samaanu,
Bag,Thaili,
Stock,Bhandar,
Golden,Sonero,
Silver,Chadilo,
Round,Gol,
Square,Choras,
Triangle,Trikon,
Rectangle,Ayatak,
Circle,Vartul,
Line,Rekha,
Dot,Bindhu,
plow,naagar,
grandmother,naani,
leaf,paan,
shepherd,dhan.gar,
obeying,maanto,
chameleon,chapni,
coconut husk,pinci,
he scolded,bhaaNDo,
broom,bhaaNNi,
water,paaNi,
arrow,baaN,
grandson,baaNjo,
to write,lakNu,
fan,pangkaa,
shepherd,dhan gar,
pimple,phaNgori,
he startled,camkaayo,
leg,Taangg,
write!,lak,
empty,Thaalo,
round,gol,
sparrow,calkoDi,
alone,yeklo,
he ate,khaaldo,
bottle cap,billa,
slow,Dhilo,
bird nest,maaLo,
jaggery ,goL,
ear lobe,loLkaa,
pounding stone,wukLi,
sickle,daatLaa,
skin,khaaLDo,
trousers,paaTLun,
border of cloth,paLLO,
sharp,aLro,
stop,rok,
"thread, string",doraa,
do!,kar,
highly seasoned,carko,
head cloth,Tukri,
tiger,waag,
tomorrow,sawaar,
body,jiw,
"matter, affair",whanaar,
sunshine,taawDo,
God,bhagwaan,
hole,wej,
ring,wiNTi,
key,caawi,
ninety,nawwad,
mother,yaaDi,
ready,tayaar,
small,naankyaa,
eleven,gyaara,
strong,paylwaan,
spider,koDyaa,
holy man,ayyaa,
song,gid,
she said,ki,
woman,bir,
where?,kim,
somewhere,kimi,
ewe sheep,miNDi,
leaf cigarette,biDi,
field,khet,
they said,ke,
mix!,bheL,
deaf,bero,
stacked pots,be Do,
crazy man,weNDO,
sandal,ceplu,
fat,gud,
water (to child),bu,
cover!,bur,
old,bu Do,
elephant's trunk,suNDo,
shawl,Tukri,
new mother's milk,khis,
buffalo cow,bh?si,
how?,kü,
tears,ääsu,
stork,konggaa,
a sweet,curmo,
like this,hãy,
day,die,
wheat,ghãw,
"vapor, steam",dh?waaDi,
come,aa,
he said,ko,
eat!,kho,
today,aaj,
day,daaD,
bracelet,kwaL.Daa,
noise,aaNT,
closed,band,
barren,gwaDD,
you  will drink,iu pi-is,
keep on drinking!,iu pi-u kar,
drink!,io pi-o,
you  drink,ie pi-e chi,
he drinks,ia pi-a cha,
people,iaa daniaa,
you will wipe,ui lu-is,
should I wipe?,uu lu-ü,
you wipe!,uo lu-o,
you wipe,ue lu-e chi,
he wipes,ua lu-a cha,
ladle,uaa Duaa,
brother-in-law,oi bhenoi,
keep on crying!,ou ro-u kar,
you wash!,00 dho-o,
you cry,oe ro-e chi,
he washes,oa dho-a cha,
brother,aai bhaai,
come!,che-i,
they came,aau,
is not,aao,
keep on talking!,eu ke-u kar,
please!,ai sai,
keep on eating!,khaa-u kar,
come!,aa-o,
is not,aa-e,
news,kha bar,
betel nut,sa.paa.ri,
chair,khurci,
awful,whalas,
bracelet,kwaLDaa,
barren,gwaDD,
spider,ko.dyaa,
closed,band,
friend,dost,
strong,payl.waan,
chain,cayn,
Laxmi,laks.mi,
hide,jap,
he hid,jab go,
win,jit,
he won,jid go,
get up,uT,
,,
"Happy Diwali, Pooja",Divali h bar Subhash,"?? Joyful, Festive"
Wish you the same,Tuni bhi divali h bar,"?? Warm, Friendly"
How do you celebrate Diwali?,To divali habbana kyon aacharan kare chi?,"?? Curious, Interested"
We do Lakshmi Puja today,Ham aaj Lakshmi puja karacha,"?? Devotional, Respectful"
Tomorrow we offer Puja to our ancestors,Sawa ham riyar puja karacha,"??? Respectful, Traditional"
Is it?,Hav ka,"?? Surprised, Interested"
We do Lakshmi Puja and in the evening we burst crackers,Ham Lakshmi puja karacha an san jasi ham pataki mara,"?? Excited, Cheerful"
"In Lambadi tradition, married girls do “Mera” ritual",Mera Banjara ma kawar choriya mera karacha,"?? Cultural, Traditional"
What is Mera?,Mera kato kai?,"?? Curious, Learning"
Unmarried girls hold diyas in hand and do prayers for everyone’s well-being,Kawar choriya deepa hate ma jalle se jini acho vedken puja karacha,"????? Caring, Blessing"
Oh is it?,Hav ka,?? Acknowledging
"Okay, now I have to go home. Do come home","Sari ama ghar janu, ghare aa","?? Polite, Friendly"
,,
,,
