Banjara,English 
Atavacha,Can hear
Atayeni,Can't hear
Athar,Perfume
Attanve,Ninety eight
Attasi,eighty eight
Avaaj,Sound
Avaar,epilepsy
Avacha,Will come
Avajako dado,coming day
Avunchu,will come
Ayojoko,Who came
Baabli,Ear ring
Baadri,Millet
Baaki,Loan
Baaki,Loan
Baal,Hair
Baal,Hair
Baal,Burn
Baalpan,Childhood
Baalpan,Childhood
Baaman,Brahmin
Baandi,Broom
Baando,Person without waist thread
Baar,Sweep
Baar,Sweep
Baara,Out
Baarbaara,Out from outside
Baarla,Sweep
Baati,Chapathi
Badai,Show off
Badai,Show off
Badlaago,Changed
Badlaago,Changed
Badnaa,Rope
Badnaa,Rope
Badnaam,Blame
Badnaam,Blame
Badwaar,Wednesday
Badwaar,Wednesday
Bagai,Yawn
Bagai,Yawn
Bagal,By the side
Bagal,By the side
Bai,Sister
Baila,Eunuch
Baimaan,Unfaithful/Untruthful
Bakdi,Hug
Bakra,Goat
Bakra,Goat
Balaa,Call
Balaa,Call
Balaaicha,Called
Balaaicha,Called
Balaamath,Donâ€™t call
Balaamath,Donâ€™t call
Balaani,Call
Balaani,Call
Balaari,Calling
Balaari,Calling
Balaaro,Calling
Balaaro,Calling
Balad,Ox
Balad,Ox
Baleecha,Very nice
Balgo,Burnt
Balgo,Burnt
Bali,Cheese
Bali,Cheese
Baljaaro,Burnt
Balla,Bad
Balla,Bad
Balla/Barkaa,Shout
Balla/Barkaa,Shout
Balyaa,Banjara bangles
Balyaa,Banjaara bangles
Banch,Live
Banch,Live
Bancha,Boy
Bancha,Boy
Banchaad,Save me
Banchaad,Save me
Banchgi,Lived
Banchgo,He lived
Banchmath,Don't live
Banchreecha,Living
Bandi,Cart
Bangdi,Bangles
Barkaa,Shout
Barkaamath,Don't shout
Basmath,Don't shout
Besaad,Make them sit
Beta,Son
Beti,Daughter
Bhaag,Share
Bhaaji,Green leaves
Bhaand,Scold
Bhaandh,Stitch/Tie
Bhaandi,Tied
Bhaandino,Tied
Bhaandricha,Trying (to tie)
Bhaandrocha,Tying
Bhaanj,Break
Bhaanoi,Brother-in-law
Bhaanth,Types
Bhaari,Heavy
Bhaari,Heavy
Bhaaro,Bunch
Bhaata,Stone
Bhaaveti,Difficulties
Bhadak,Afraid
Bhadkaa,Drive away
Bhagath,Devotee
Bhai,Brother
Bhalan,Together
Bhalanjo,Meet and go
Bhalgi,Meet
Bhandnaako,Tied
Bhandra,Medicinal plant
Bhanjgi,Pricked
Bhanthe,Variety/Different
Bhar,Fill
Bhar,Meet
Bharan,Fill up
Bhari,Expensive (contextual)
Bharla,Fill and bring
Bharo,Fill
Bharricha,Filling
Bhasgi,Spoilt
Bhasricha,Shouting
Bhasrocha,Shouting
Bhathijo,Nephew
Bhavani,Goddess
Bhediya,Fox
Bheek,Beg
Bheenorang,Brown
Bheeya,Brother
Bhel,Mix
Bhobra,Fire coals
Bhog,Fire offering
Bhojai,Sister-in-law
Bholkis,Very young
Bhooth,Devil/Ghost
Bhugli,Chilli powder
Bhuglo,Naked
Bhulaagi,Forgotten
Bhulgo,Forgot
Bhuraali,Alone
Bhuraalo,Alone
Bhuug,Hunger
Bhuul,Forget
Bhuulgi,Forgot
Bhuund,Bad
Bhuunj,Fry
Bhuurya,Nose ring
Bhyansa,Bull
Bhyansi,Cow
Bigadgi,Lost
Bija,Seed
Bijini,Stingy
Billa/Bissa,Cat
Bodka,Head shaved
Bodri,Chicken pox
Bol,Tell/Speak
Bolacha,Will speak
Boli,Language
Boluni,Will not speak
Bomder jhaad,Thorn tree
Bood,Old
Bor,Berry
Boti,Meat
Bottu,Dot on the forehead (bindi)
Budadino,Evaded
Budamath,Evade
Budapupar,Old age
Bwaadi,Daughter-in-law
Byaaro,Deaf
Byaas,Sit
Chaab,Chew
Chaab,Chew
Chaadika,Gossip
Chaak,Taste
Chaal,Walk
Chaal/Chaalo,Tradition
Chaalis,Forty
Chaalo,Play
Chaalo,Walk
Chaand,Moon
Chaar,Four
Chaari,Those four
Chaat,Taste
Chaattu,Paddle
Chaavadhaga,Want
Chaavajathra,As much as possible
Chaaval,Rice
Chaavno,Want
Chaavunkan,Intentionally
Chaayeni,Don't want
Chad,Climb
Chakor,Intelligent
Chakri,Service
Chalaa,Make her walk
Chalejaama,Will go
Chalo aarocha,Coming
Chamak,Fear / Afraid
Chamkaan,Threatened
Chana,Dry cow dung
Chana,Bengal gram
Chanchi,Bag
Chandan raath,Full moon
Chandrahaar,7 layers chain
Channar bhaji,Green leafy vegetable
Chanth,Mind
Chapcheni,Pindrop silence
Chapraasi,Clerk
Chapti,Sound
Chapti,Stingy
Chapti jaami,Barren land
Charaa,Graze
Charaayena,For grazing
Charmatadi,Rosary pea
Charreecha,Grazing
Chathar,Intelligent
Chatharai,Clean
Chatho,Straight
Chatki,Toe rings
Chatki aangli,Little finger
Cheddar,Bed sheet
Cheel,Eagle
Cheel,Tear
Chekka,Flat wood
Chekkar sanduka,Wooden Box
Chendu,Ball
Chenngya,Peanuts
Chibri,Owl
Chidra,Irritated
Chikru,Tender tamarind leaves
Chila,Nail
Chilam,Rust
Chilkam,A red dot on the forehead / Kumkum
Chimta,Holding pin
Chintaani,Memory
Chintro,Piece of a cloth
Chiraagi/Chiraago,Torn
Chirra,Cart bolts
Chitha,Leopard
Chithrakaar,Painter
Chuler lakdi,Firewood
Chulo,Wooden fireplace/stove
Chum,Kiss
Chundeluka,Black rat
Chunier,Elect
Chunno,Lime wash
Chuntaad,Stick
Chunteni,Will not stick
Churmo,Offering of God
Churo,Leaking
Churo Churo,Powdered
Churokar,Powder down
Chuva,Leak
Chvaad,Wide
Chvaaker daant,Front teeth (Incisors)
Coolie,Labour
Da,Give
Daab,Well
Daab,Press
Daada,Grandfather
Daadeaanto,Alternate days
Daadi,Grandmother
Daadi,Daily
Daadiaajo,Come daily
Daadidaadi,Day by day
Daado,Memorial day
Daado,Dawn
Daado day,Today's day
Daadodalo,Sunset time
Daadovejja,Curse
Daadrocha,Bull roar
Daag,Scar
Daaka,Difficulty
Daakan,Black magical (female)
Daakdaar jhaad,Medicinal plant
Daakki,Black magician (male)
Daakni,Vomitings
Daal,Pulse
Daal,Sword
Daana,Evil person
Daanaa naak,Sow seeds
Daand,Extortion/compensation
Daandi,Stick
Daang,Big hand stick
Daank,Cover
Daankni,Lid
Daanth,Teeth
Daanthan,Tooth twig
Daanthla,Axe
Daanthli,Small axe
Daaru,Liquor
Daasi,Servant
Daavassam,Left side
Daavhath,Left hand
Daavlo,Mourning
Dabba,Drum
Dabbdaar tvaali,Drum beat
Dabbi,Small box
Dabbo,Box
Dabgo,Pressed
Dacha,Will give
Dadi,A subsect of Banjara tribe
Dadi,Chin
Dadi,Ball
Dai,Near
Daikar,Assemble
Daikide,Supported
Dairo,Nearest people
Dakaa,Appear
Dakaal / Dikaal,Show
Daklo,Like thing (context unclear)
Dal,Troop
Dal,Heart/conscience
Dal bharagi,Heartful
Dala,Eyeball
Dalakgo,Spilled
Dalda,Hole
Dalemareno,Willful
Dalethi,Heartful
Dali,Piece (usually for meat)
Daliya,Sorghum liquid
Dalkaar,Scare
Dalya,Drum beaters
Dam,Breath/life
Dambhar,Hold breath
Damcheni,No life (lifeless)
Dammath,Don't give
Dand,Full
Dandaa,Stick
Daniyaa,Others
Danko / Dande,Fastly/quickly
Dapacha,Give then
Dapad,Chase
Dapat,Chase
Dar,Fear
Daraada,Buy/Bought
Daraaj,Eczema
Daraani,Cloth under pounding stone
Darkaa,Frighten
Darshan,Face
Darvaani,Small co-sister
Das,Ten
Dasrapiya,Ten rupees
Dassel,Little
Dasthi,Hand kerchief
Davaa,Medicine
Davvakhana,Hospital
Deda,Handover
Dedya,Scheduled Caste person
Deedaad,Two days
Deelo Deelo,Slowly
Deemohapta,Second time
Deeni/Deeno,Gave
Deera,Thorns
Deeti/deeto,Seen / Watched
Deevadi,Two sides
Deevadi,Separated / Delivery
Dek,See
Dek,See/look
Deka athra chetima,Will look from faraway
Dekro,Looking
Delaa,Will you give
Demel,Send
Denaak,Give
Denaaku,Will give
Deno,Shall give
Dera,Tent
Deraa,Journey
Desh/Des,Country
Desha/Desa,Fortune
Deto,Shaa / walk
Dev,God
Devaalo,Gives
Deval,Temple
Devar,Brother-in-law
Dhaan,Cooked rice
Dhaani,Popcorn
Dhaanjo,Run/escape
Dhaans,Run
Dhaapan,Stomach full
Dhaapan so,Sleep soundly
Dhaapgi,Relieved
Dhaar,Stream
Dhaaro,Pleading
Dhadi,Fold
Dhagdi,Leader
Dhai,Curd
Dhain Dalya,Curd rice
Dhakal,Push
Dhamki,Warning
Dhamnasaap,Indian rat snake
Dhan,Wealth
Dhani,Husband
Dhaniya,Spice
Dhaniyaar paan,Coriander leaves
Dhap,Foot
Dhapkaar,Offering to God
Dharam,Truthful
Dharas,Sneaked
Dharmathan,Helpful/charitable (female)
Dharmathi,Charitable (male)
Dharthi,Earth
Dher,Enough
Dheraacho,OK/good
Dho,Wash/clean
Dhoban,Washerwoman
Dhobek,Handful
Dhobi,Washerman
Dhobobhari,Handful
Dhok,Pray
Dhok duunchu,Pleading
Dholaa,Clean
Dhonaak,Wash
Dhood,Mud
Dhoraa,Make it cleaned
Dhoraala,Make it cleaned and bring
Dhorya,Aristocrat
Dhothi,Waist cloth
Dhunka,Air stick
Dhuui/Dhuvaadi,Incense smoke
Dhuund,Search
Dhuunjni/Dhuunj,Shivering
Dhuunv,Smoke
Dhvalo,White
Dhyaan,Commitment
Di,Two
Dikaa/dakaa,Be visible / Appear
Dikaal/Dakad,Show
Dikaavacha,It's visible
Dikaavajako,Visible
Dikaayeni,Not visible
Dil/Dal,Heart
Dildaar,Good hearted
Dindusaap,Water snake
Dingro,Log balancer of a cattle
Ditwaar,Sunday
Diwaar,Wall
Diya,Day
Diyer bathi,Oil lamp
Diyo,Lamp
Dobaad,Sink
Dobber,Afternoon
Dodaa,Bunch
Dogla,Many
Doglya,A type of fish
Doiven,Both
Dok,Sickness
Dokra,Old man
Dokri,Old woman
Dol,Drum
Doli,Palanqueen
Dolla,Fold
Doodh,Milk
Doon,Plough
Doond,Search
Dooni,Will not give
Doonrocha,Ploughing
Doons,Long haired rat
Door,Far
Door,Tightening thread
Door,Cattle
Dooran,Binding thread
Doorkar,Maintaining distance
Doosar,Different
Dor,Draw
Doraa,Thread
Dorlaa,Bring them
Dubaadi,Weeds
Dubaar / Dubaara,Waste
Dubbli,Very thin (Feminine)
Dublo,Very thin (Masculine)
Duder Daanth,Milk Teeth
Dukaan/Dokaan,Shop
Dukam,Sadness / Sorrow
Dulam,Centre / Corner log
Dummu,Dust
Dushman,Enemy
Duunchu,Will give
Dvaala,Branch
Dwaad Paav,Quarter and half
Dwaad kilo,One and half kilogram
Dwaali,Twig
Edi,Foot-A-1
Ek,One
EkEkek,One by one
Ekhapta,Once
Ekkar,Unite/Bring together
Ekli,Alone (female)
Eklomankya,One alone man
Ektak,One time
Ela,Work hard
Elankar,Announce
En,For her/him
Ena,This
Er,This person's
Erju,Like this/him
Es,Used rarely
Ethbharo,Tiny
Ethya,Short person
Evdi,This side
Evdiaa,Come this side
Gaadi,Train
Gaaj,Mushrooms
Gaal,Soak
Gaala,Spiral head cloth (like turban)
Gaalepar,On cheek
Gaali,Scold
Gaam,Village
Gaapan,Conceived
Gaavdi,Cow (plenty)
Gaavdi,Cow
Gabgab,Fast
Gachgach gudh,Punch toughly/hardly
Gad,Fortress
Gad gad haas,Laugh aloud
Gadbad,Noise
Gadda,Lump/high place
Gadda,Ass
Gaddapaara,Crow bar
Gaddi,Donkey
Gadgi,Planted
Gadi,Bolt
Gadlo paani,Mud water/unclean water
Gal,Fishing rod
Gal/Galjo,Swallow
Galacha,Digested
Galak,Happy
Galath,Mistake
Galeni,Doesn't digest
Galgi,Baked/Digested
Gallo/Gardaano,Neck
Galma,Entrance
Galthi,Mistake
Gamaada,Lost
Gamgi,Lost
Gan,Count
Gandaaro,Smell
Gandi,Crack
Gandi kaasevaalu,Opportunist
Gandla,Piece
Gangaanandi,River Ganges
Gango,Dumb (masculine)
Gangor,Idols
Gant,Knot
Gantaa,Stitch
Ganthbhandh,Funeral rites
Gantho,Pair
Gapchap,Be quiet
Gapko/Garko,Immediately
Garad/Gaad,Plant
Garaj,Roar
Garam,Luke warm
Gardaano,Neck
Gareeb,Poor
Gareli/Garli,Squirrel
Gargi,Spoilt
Garj,Bellowed
Garjrocha,Thunder
Garmo,Luke warm
Garsha,Grain room
Garu,Teacher/Holy person
Garuur,Guava
Gasaalo,Cumin
Gasthel,Kerosene
Gathala aadmi,Lazy
Gather,Fowl pest
Gathi Cheni,Orphan
Gatko gal,Swallow quickly
Gatkopi,Drink quickly
Gatli,Hill
Gaveri/Gauri,Goddess
Ge,Went
Gecha,Went
Gedgi,Fruit picking device
Gee,Went
Geedh,Song
Geega (ka),Did you go?
Geejana,When I went
Geelo,Soft
Geer,Scratch
Geet,Line
Geriyaa,Dancers
Gerla,Toddy palmyra fruit
Geru,Type of colours
Ghaagro,Skirt
Ghaal,Put
Ghaalevaalo,Guardian
Ghaalya,Put and come
Ghaathima padge,Fell in troubles
Ghaav,Injury
Ghad,Produce
Ghadaala,Making
Ghadi,Minute
Ghadi,Watch
Ghadi Ghadi,Intermittently
Ghadojako,Creator
Ghanam,Far
Ghandaad,Many days
Ghano,More
Ghar,House
Gharbaar,Home
Gharema,At home
Gharer baar,Outside the house
Gharer umpra,On top of the house
Gharevaal,Family
Gharler Jhaad,Fig tree
Ghas,Scrub
Ghatti,Pounding stone / Grain milling stone
Ghattipis,Grind
Ghee,Ghee
Gheraagi,Troubled
Gheraayi,Dizziness
Ghero,Surround
Ghobo,Dent
Ghodi,Mare
Ghodo,Stallion
Ghog,Tongue/Voice
Ghol,Mix/stir
Gholya,Buttermilk
Ghood,Eagle
Ghoongto,Veil
Ghoos,Hide
Ghorro/Ghor,Snore
Ghota,Sweet jaggery liquid
Ghour baati,Wheat Chapati
Ghouraato,Wheat flour
Ghudiya,Pot
Ghugra,Anklets
Ghugri,Ornament of a Banjara Woman
Ghugro,Kabuli chana
Ghunghadi,Blanket
Ghurral,Raspberry
Gidhgidh,Tickling
Gilaas,Glass
Ginni,Small bowl
Ginyaa,Big Bowl
Giraagi,Scratched
Girni,Flour mill
Girra,Wheel
Go,Went
Gobar,Cow dung
Godaam,Store house
Godadi,Quilt
Godo,Knees
Godo,Lap
Goga,Did you go
Goi,Chameleon
Gojana,When (I) went
Gok,Hide
Gokla,Hide
Gokla,Hide and bring
Gokoni,Didn't go
Gola,Noise
Golaal rang,Pink colour
Golaavarya,Shepherd
Golaavege,Gathered
Golabhaata,Round stone
Goli,Tablet
Goll,Scarlet Gourd
Gollavaani,Shepherdess
Golphal,Round in shape
Gom,Centipede
Goniya,Virtuous
Gonna,Barn
Gonvaari,Donkey worm
Goonti,Baby food
Gopan,Scarecrow
Gor/Gorya,Banjaras
Gorkali,Myna bird
Gorla,Rain
Gorli,Sheep
Gorphali,Beans
Gorru,Plough
Gosi,Gochi (cloth)
Gubli,Ear wax
Gudeli,Wood scythe / sickle
Gudh,Fat
Gudh/Guudh,Hit
Gudhri,Sore throat
Gudla,Eyeballs
Gullo,Pelvis
Gumaan,Doubt
Gumdi,Ulcer (open sore)
Gumdo,Bump
Gummi,Granary
Gunasro,Murmur
Gunchla,Bunch
Gundya,Gond
Gungi,Dumb (feminine)
Gunni,Dwarf (feminine)
Gunno,Dwarf (masculine)
Guntka,Harrow
Gurudev,Gurunanak
Guu,Poop
Guundh,Glue
Guunth,To plait
Gwaal,Jaggery
Gwaar,Banjaras
Gwaarer Jumdi,Banjara huts
Gwaargwaandi,Wife and husband (couple)
Gwarer thando,Banjara hamlet
Gyaano pakdaava,Eclipse (day)
Gyaara,Eleven
Gyan,Knowledge
Gyanaka,Chastise him
Gyari needh,Sound sleep
Gyarogach,Dense
Ichka,Mock
Idly,Indian savoury/millet and rice cake
Idthi,Custom
Ijjath,Respect/dignity
Ijli,Thunder
Ilachi,Cardamom
Ilaka,Area/kingdom
Imaan,Vow
Imaanethi,Swearing
Iman,Honest
Imandar,Faithful man
Inaam,Gift
Inamdar,Gifted
Inch,Inch
Inkal,Go
Inkleni,Will not go
Ipra,Instigate
Irsu,Axle
Isra/visra,Objects/things
Isthevaalo,Presser
Iyarer Baati,Jowar/Sorghum Chapati
Jaabdo,Jaws
Jaado/Jaad,Fat
Jaag,Place
Jaagaavo,Awaken
Jaagnara,Be awake
Jaagrocha,Awake
Jaali,Sieve
Jaaman,Curd
Jaamumuraar Shad,Purple plum tree
Jaamura,Purple plum
Jaan Avo,Go
Jaanaj,That's why
Jaanan,Deliberately
Jaanthiyaadi,Biological mother
Jaari/Jaaro,Going
Jaath,Caste
Jaather chaari,Proposed girl
Jaathora,Keep going
Jaavno,Shall go
Jaavunchu,Will go
Jabar acho,Very good
Jad,Root
Jadojat,Thick
Jagath/Jagthi,World
Jagjag,Glittery
Jail/Kacheri,Prison
Jako/Jana,"So, then"
Jaldi,Quickly
Jalla,Big basket
Jama,Let's go
Jamai,Son-in-law
Jamalir Jhaad,Jamili tree
Jamgi,Turned into
Jammi,Land
Jammiyadi,Mother earth
Jamno/Jamman,Right
Jan,People
Janaavar,Tiger
Janagl,Forest
Janam,Birth
Janna,Reproduce
Janna,Then
Jantha baap,Biological father
Jaraak,Little
Jarakvaala,Some time
Jaruur,Definitely / Surely
Jatani,Elder co-sister
Jath daar,Respectful
Jatha ghadi,Inviting troubles
Jathan,Carefully
Java,Shall/will go
Javaab,Answer
Jayeni,Will not go
Jeeb,Tongue
Jeero,Cumin
Jeeth,Victory/win
Jeev,Life/health
Jeevan cha,Alive
Jeevmod,Stretching oneself
Jeevraasi,Living things
Jerjena,For themselves
Jhaad,Medicine
Jhaad,Tree
Jhaapat,Rain showers
Jhadge,Fallen down
Jhadi,Storm
Jhadimaari,Low storm
Jhagda,Quarrel
Jhagla,Shirt
Jhagre,Heat waves
Jhakti/Jaakiti,Blouse
Jhal,Hold
Jhalla,Bring it
Jhanda,Flag
Jhandaa,Bunch
Jhank,Shine
Jhankricha,Shining (feminine)
Jhankrocha,Glittering
Jhankrocha,Shining
Jhapat,Convulsion
Jhari,Brass cup
Jhermdi,Hut
Jhimra,Fisherman
Jhinchkir Jhaad,Bushes
Jhinchkir baani,Bushes Broom
Jhinga,Prawns
Jhinjat,Troubles
Jhinthralatta,Uncombed hair
Jhiththadkema,Hot sun
Jhodgo,Fallen
Jholi,Cradle
Jhoorlo,Group of women
Jhoormath,Don't worry
Jibaar,Fiery temper
Jigiri,Nearest/close friend
Jimmedaar,Responsible/Responsibility
Jinthri,Unkempt
Jo,Go
Jod,Stitch
Joda,Couple
Jodi,Pair/couple
Jodi,Pair
Jodthi,Loudly/heavily
Jog,Leech
Joi,Separated
Joke,Weigh
Joke,Weight
Jomath,Don't go
Jor,Strength
Jorbari,Forcefully
Jorethi maar,Beat with full strength
Joth,Radiance/glow
Juluus,Procession
Juthe/Cheplu,Sandals
Juu,Louse/lice
Juun,Old
Jyada/Jada,More
Jyarer boonda,Sorghum Chaff
Jyarer chappa,Sorghum grass
Jyarer dalya,Sorghum food
Jyarer raada,Twig sorghum
Ka,Tell
Kaabjo,Tortoise
Kaach,Unriped
Kaache/Kach,Small mirrors
Kaad,Take out
Kaad,Take out
Kaadnako,Took out
Kaagad/Kaagaj,Paper
Kaagla,Hill tongue
Kaai Cheni,Nothing
Kaajal,Eye glasses
Kaakdir Kholga,Cucumber bola
Kaaki,Younger paternal aunt
Kaakli,Female crow
Kaaklothi,Worrying
Kaakoti,Wide wooden vessel
Kaal,Yesterday
Kaal,Yesterday
Kaal padgo,Drought
Kaalda/Kaadla,Bring
Kaalero,Yesterday's
Kaali Mirchi,Black pepper
Kaalo,Black
Kaamdhaam,Work etc.
Kaan,Ear
Kaana,For what
Kaanda,Onion
Kaando,Shoulder
Kaaner Vej,Ear hole
Kaangsi,Comb
Kaani,Blind
Kaani,Log with holes
Kaanj,Grunt
Kaanji,Moss
Kaankhothra,Worm
Kaankhotra,Ear cleaner
Kaankra,Gravel
Kaankya,Offering
Kaano/Aando,Blind man
Kaant,Thorn
Kaantra,Fish
Kaarvai,Duty
Kaassa bhai,Own (blood) brother
Kaat,Cut
Kaatevaalo khad,Itching grass
Kaato,Bitten
Kaatto,Hardly/Harshly
Kaavath,Proverb
Kaavli/Kavali,Guard
Kaboothar,Pigeon
Kacha,Will tell
Kacheri,Police station
Kachla,Coconut shell
Kachni,Prostitute
Kachoti,End knot of dhoti
Kad,Back
Kada,Take out
Kadi,Latch
Kado,Sweet dish with jaggery
Kadpa,Down part of the door
Kai,What?
Kai,What
Kaindo/Kaikido,What happened
Kaju,Do as told
Kaka,Younger paternal uncle
Kakdi,Cucumber
Kakdi hen,Chicken
Kakla,Crow
Kalaal,Goud
Kalaan,In detail
Kalaan ka,Make him/her understand
Kaldas/Kaldthant,Strong/Tight
Kaldonaark,Gargle
Kaldtant,Strong (teeth)
Kaleni,Can't understand
Kalenijako,Unintelligible
Kalenki,Quarrelsome
Kali/Kalgi,Understood
Kamai,Income
Kamedi,Dove
Kamjor/Jarkam,Weak
Kamler Phool,Lotus flower
Kan,To whom
Kanchli,Blouse (Banjara)
Kangsya,Wooden comb
Kankaali,Goddess Kalika
Kanko,Under arm
Kanna,When
Kannai,Any time
Kanni,Behaviour
Kanora/Konora,Edge
Kanthya,Loosen the soil of the field
Kanya,Ear ornament of a Lambadi woman
Kapat,Jealous
Kapda/Tokda,Cloth
Kar,Do
Karaar,Agreement
Karacha,Will do
Karala,Get designed and bring it
Karanda,Fruits
Karanlaa,Get the work done
Karbhari,Secretary
Karela/Karla,Bitter gourd
Karla,Get it done
Karlaar Vel,Bitter gourd creeper
Karod,Crore
Karrunt,Electric power
Karuunchu,Will do
Kasaagi,Tightened
Kasaar,Goldsmith
Kasan,Why
Kasero,What type
Kassan bhand,Tie tightly
Kasse,Leg ornament of a Lambadi woman
Kassek cha,How is he (it)?
Kasso,Not good
Kataago,Injured
Kataalo,Frustrated
Katha,Where
Katha Chi,Where are you
Kathethani,Until where
Kathethi,From where
Kathra,How many
Kathrai ko,So much
Kathraido,More
Katmaalo,Big family
Kavdavego,How big
Kavli,Guard
Ke,Told
Keer,Line
Kela,Think
Kelda,Male calf
Keldi,Female calf
Kemel,Send a word
Kena,To whom
Kenaako,Told
Keni,Tell
Kenitho,If you don't tell
Ker,Whose
Kesni,Tell
Kesula,Flower
Kevaal,Sayers
Kevdi,Which side
Kevdi,Where/Which side
Kevdigi,Where did you go
Kevukar,Continue telling
Khaad,Pit
Khaadu,Herd
Khaali,Skin
Khaalo,Eat
Khaalwa,Stream
Khaana,Drawer
Khaaro,Eating
Khaaropaani,Salt water
Khaas,Important
Khaat,Coffin
Khaatar,Like
Khaato,Sour
Khaavu gandela,Gluttonous
Khaavunchu,Will eat
Khaayer,Edible
Khabar,News
Khabja,Trespass
Khad,Grass
Khajura,Dates
Kham,Endure
Khanchaalo,Rough
Khandva,Towel
Khansi,Cough
Khanso,Bronze
Khanyesi,Like/Pleasure
Khapthi,Steps
Kharaap,Spoil
Kharach,Spend
Kharpa,Spear
Kharpani,Ladle
Khatkya,Butcher
Khatlo/Khatla,Trouble
Kheel,Joints
Kheela,Pimples
Kheench,Pull
Khel,Play
Khenchago,Thinner
Kheth,Field
Khethvaadi,Field
Khev,Tolerate
Khithi,Carpenter
Kho/Khala,Eat
Khobri,Skull
Khod,Deficiency
Khodh,Dig
Khodino,Lost
Khodo,Nest
Khogi,Lost
Khoj,Trace
Khoj,Footstep
Khoja,Scratch
Khojavni,Itching
Khojvatha,Trace
Khol,Open
Kholdo,Lose
Kholi,Pocket
Kholmath,Don't open
Khonkal,Rinse
Khora,Feed
Khoraaki,Eatables
Khorvaal,Search
Khothar,Fidgeting
Khunta,Log
Khushi,Happy
Khutaad,Complete
Khuub aach,Very good
Khuub surath,Handsome
Khuund,Stamp
Khuunikor,Murderer
Khvaadi,Chilli powder
Khwaadi,Pickle
Khwaal,Blanket
Khyaal,Thought/Opinion
Khyanch,Pull
Ki/Kothi,Told (her/him)
Kikaati,Sound
Kilaadi,Artful
Kinch,Wet mud
Kirkando,Male gill
Kobal,Koyal
Kobli,Mouth boils
Kochar,Pinch
Kocharocha,Pinching
Kochlo,Brass plate
Kocholi,Small bowl
Kodchi,Big spoon
Kodcho,Big curry spoon
Kodiya,Spider
Kola,Keep quiet
Kola,Oil light
Kolda,Anklets
Kolda,Anklet
Kolljo,Liver
Kolya,Charcoal
Komtya,Vyshya
Kondoro,Waist thread
Kookan,How
Koon,Who
Koon,Who
Koon,Who
Kooni,Not
Koori,Non-Banjara woman
Koot,Grind
Koot,Beat
Koovo,Well
Koraadi,Axe
Koro dalya,White rice
Kos,Pull
Koshaari,Cockroach
Kosla,Snatch
Kosla,Pull and bring
Koslethi,Safely
Kothra,Dog
Kothri,Female dog
Kotro,Big basin
Kottam,Barn
Kotya,Cardamom
Ku,How
Ku ayechi,How will you come
Kuchaju,As it is
Kudh,Jump
Kudi,Bitter
Kudo,Jumped
Kukarechi,How will you do
Kukdo,Cock
Kukdo bolthu,Cock crow morning
Kula,Collapse
Kulangi,Wiped out/Fell down
Kulgo,Collapsed
Kumar,Potter
Kunas,Which
Kunchu/Koounchu,Will tell
Kundi,Telugu Girl
Kunji,Key
Kuund,Pond
Kuuni,Elbow
Kuuvaaro,Bachelor
Kuuvaju,As one wishes
Kuvaar,Virgin/Unmarried girl
Kvaadi,Shells
Kwaal,Morsel
Kwala,Pumpkin
Kyaara,Field
Kyankdo,Crab
Laabi,Found
Laad,Pampering
